ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Original-Title,full_text,keywords
0195153448,classical mythology,mark p o morford,2002,oxford university press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,Classical Mythology,classical mythology mark p o morford,[]
0002005018,clara callan,richard bruce wright,2001,harperflamingo canada,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,Clara Callan,clara callan richard bruce wright,"['richard', 'callan', 'callan richard', 'clara', 'wright', 'bruce', 'bruce wright', 'clara callan']"
0060973129,decision in normandy,carlo deste,1991,harperperennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,Decision in Normandy,decision in normandy carlo deste,[]
0374157065,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it,gina bari kolata,1999,farrar straus giroux,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it gina bari kolata,"['story great', 'bari', 'gina', 'kolata', 'search virus', 'virus caused', '1918 search', 'flu story']"
0393045218,the mummies of urumchi,e j w barber,1999,w w norton amp company,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,The Mummies of Urumchi,the mummies of urumchi e j w barber,[]
0399135782,the kitchen gods wife,amy tan,1991,putnam pub group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,The Kitchen God's Wife,the kitchen gods wife amy tan,"['tan', 'gods', 'wife', 'kitchen', 'amy', 'kitchen gods', 'wife amy', 'amy tan']"
0425176428,what if the worlds foremost military historians imagine what might have been,robert cowley,2000,berkley publishing group,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,What If?: The World's Foremost Military Historians Imagine What Might Have Been,what if the worlds foremost military historians imagine what might have been robert cowley,"['worlds', 'foremost', 'imagine', 'military', 'cowley', 'imagine robert', 'military historians', 'robert cowley']"
0671870432,pleading guilty,scott turow,1993,audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,PLEADING GUILTY,pleading guilty scott turow,[]
0679425608,under the black flag the romance and the reality of life among the pirates,david cordingly,1996,random house,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,under the black flag the romance and the reality of life among the pirates david cordingly,"['reality', 'flag', 'black', 'david', 'romance reality', 'cordingly', 'david cordingly', 'life pirates']"
074322678X,where youll find me and other stories,ann beattie,2002,scribner,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,Where You'll Find Me: And Other Stories,where youll find me and other stories ann beattie,[]
0771074670,nights below station street,david adams richards,1988,emblem editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,Nights Below Station Street,nights below station street david adams richards,"['station', 'david', 'street', 'adams', 'nights', 'richards', 'station street', 'david adams']"
080652121X,hitlers secret bankers the myth of swiss neutrality during the holocaust,adam lebor,2000,citadel press,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,hitlers secret bankers the myth of swiss neutrality during the holocaust adam lebor,"['adam', 'myth', 'secret', 'neutrality', 'swiss', 'bankers myth', 'lebor', 'neutrality holocaust']"
