ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,full_text,keywords
0195153448,classical mythology,mark p o morford,2002.0,oxford university press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,classical mythology mark p o morford,[]
0002005018,clara callan,richard bruce wright,2001.0,harperflamingo canada,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,clara callan richard bruce wright,"['richard', 'callan', 'callan richard', 'clara', 'wright', 'bruce', 'bruce wright', 'clara callan']"
0060973129,decision in normandy,carlo deste,1991.0,harperperennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,decision in normandy carlo deste,[]
0374157065,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it,gina bari kolata,1999.0,farrar straus giroux,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it gina bari kolata,"['story great', 'bari', 'gina', 'kolata', 'search virus', 'virus caused', '1918 search', 'flu story']"
0393045218,the mummies of urumchi,e j w barber,1999.0,w w norton amp company,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,the mummies of urumchi e j w barber,[]
0399135782,the kitchen gods wife,amy tan,1991.0,putnam pub group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,the kitchen gods wife amy tan,"['tan', 'gods', 'wife', 'kitchen', 'amy', 'kitchen gods', 'wife amy', 'amy tan']"
0425176428,what if the worlds foremost military historians imagine what might have been,robert cowley,2000.0,berkley publishing group,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,what if the worlds foremost military historians imagine what might have been robert cowley,"['worlds', 'foremost', 'imagine', 'military', 'cowley', 'imagine robert', 'military historians', 'robert cowley']"
0671870432,pleading guilty,scott turow,1993.0,audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,pleading guilty scott turow,[]
0679425608,under the black flag the romance and the reality of life among the pirates,david cordingly,1996.0,random house,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,under the black flag the romance and the reality of life among the pirates david cordingly,"['reality', 'flag', 'black', 'david', 'romance reality', 'cordingly', 'david cordingly', 'life pirates']"
074322678X,where youll find me and other stories,ann beattie,2002.0,scribner,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,where youll find me and other stories ann beattie,[]
