ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Original-Title,full_text,keywords
0195153448,classical mythology,mark p o morford,2002,oxford university press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,Classical Mythology,classical mythology mark p o morford,[]
0002005018,clara callan,richard bruce wright,2001,harperflamingo canada,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,Clara Callan,clara callan richard bruce wright,[]
0060973129,decision in normandy,carlo deste,1991,harperperennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,Decision in Normandy,decision in normandy carlo deste,[]
0374157065,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it,gina bari kolata,1999,farrar straus giroux,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,flu the story of the great influenza pandemic of 1918 and the search for the virus that caused it gina bari kolata,"['story great', 'search', 'bari', 'gina', 'kolata', 'search virus', 'caused gina', 'bari kolata', 'virus caused', '1918', 'great influenza', 'flu story']"
0393045218,the mummies of urumchi,e j w barber,1999,w w norton amp company,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,The Mummies of Urumchi,the mummies of urumchi e j w barber,[]
0399135782,the kitchen gods wife,amy tan,1991,putnam pub group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,The Kitchen God's Wife,the kitchen gods wife amy tan,[]
0425176428,what if the worlds foremost military historians imagine what might have been,robert cowley,2000,berkley publishing group,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,What If?: The World's Foremost Military Historians Imagine What Might Have Been,what if the worlds foremost military historians imagine what might have been robert cowley,"['worlds', 'worlds foremost', 'foremost', 'imagine', 'military', 'historians', 'robert', 'historians imagine', 'cowley', 'imagine robert', 'military historians', 'robert cowley']"
0671870432,pleading guilty,scott turow,1993,audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,PLEADING GUILTY,pleading guilty scott turow,[]
0679425608,under the black flag the romance and the reality of life among the pirates,david cordingly,1996,random house,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,under the black flag the romance and the reality of life among the pirates david cordingly,"['reality', 'reality life', 'flag', 'black', 'david', 'romance', 'romance reality', 'cordingly', 'black flag', 'david cordingly', 'pirates', 'life pirates']"
074322678X,where youll find me and other stories,ann beattie,2002,scribner,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,Where You'll Find Me: And Other Stories,where youll find me and other stories ann beattie,[]
0771074670,nights below station street,david adams richards,1988,emblem editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,Nights Below Station Street,nights below station street david adams richards,[]
080652121X,hitlers secret bankers the myth of swiss neutrality during the holocaust,adam lebor,2000,citadel press,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,hitlers secret bankers the myth of swiss neutrality during the holocaust adam lebor,"['adam', 'myth', 'secret', 'neutrality', 'bankers', 'myth swiss', 'hitlers', 'bankers myth', 'lebor', 'adam lebor', 'swiss neutrality', 'neutrality holocaust']"
0887841740,the middle stories,sheila heti,2004,house of anansi press,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,The Middle Stories,the middle stories sheila heti,[]
1552041778,jane doe,r j kaiser,1999,mira books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,Jane Doe,jane doe r j kaiser,[]
1558746218,a second chicken soup for the womans soul chicken soup for the soul series,jack canfield,1998,health communications,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),a second chicken soup for the womans soul chicken soup for the soul series jack canfield,"['second', 'series', 'womans', 'chicken', 'womans soul', 'soul series', 'canfield', 'series jack', 'second chicken', 'soup womans', 'jack canfield', 'chicken soup']"
1567407781,the witchfinder amos walker mystery series,loren d estleman,1998,brilliance audio trade,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,The Witchfinder (Amos Walker Mystery Series),the witchfinder amos walker mystery series loren d estleman,"['estleman', 'mystery', 'series', 'amos', 'loren', 'walker', 'loren estleman', 'amos walker', 'series loren', 'witchfinder', 'walker mystery', 'witchfinder amos']"
1575663937,more cunning than man a social history of rats and man,robert hendrickson,1999,kensington publishing corp,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,More Cunning Than Man: A Social History of Rats and Man,more cunning than man a social history of rats and man robert hendrickson,"['man', 'robert', 'social', 'man robert', 'social history', 'man social', 'hendrickson', 'rats', 'cunning', 'robert hendrickson', 'cunning man', 'history rats']"
1881320189,goodbye to the buttermilk sky,julia oliver,1994,river city pub,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,Goodbye to the Buttermilk Sky,goodbye to the buttermilk sky julia oliver,[]
0440234743,the testament,john grisham,1999,dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,The Testament,the testament john grisham,[]
0452264464,beloved plume contemporary fiction,toni morrison,1994,plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,Beloved (Plume Contemporary Fiction),beloved plume contemporary fiction toni morrison,[]
0609804618,our dumb century the onion presents 100 years of headlines from americas finest news source,the onion,1999,three rivers press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,our dumb century the onion presents 100 years of headlines from americas finest news source the onion,"['years', '100', 'source', 'dumb', 'presents 100', 'americas', 'americas finest', 'headlines', 'finest news', 'onion presents', 'source onion', 'dumb century']"
1841721522,new vegetarian bold and beautiful recipes for every occasion,celia brooks brown,2001,ryland peters amp small ltd,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,new vegetarian bold and beautiful recipes for every occasion celia brooks brown,"['occasion', 'new', 'beautiful', 'bold beautiful', 'brooks', 'brown', 'brooks brown', 'vegetarian', 'recipes occasion', 'beautiful recipes', 'celia', 'occasion celia']"
1879384493,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself,j r parrish,2003,cypress house,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,if id known then what i know now why not learn from the mistakes of others you cant afford to make them all yourself j r parrish,"['id', 'afford', 'make', 'afford make', 'parrish', 'know', 'make parrish', 'known', 'known know', 'mistakes afford', 'learn', 'learn mistakes']"
0061076031,marykate amp ashley switching goals marykate and ashley starring in,marykate amp ashley olsen,2000,harperentertainment,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),marykate amp ashley switching goals marykate and ashley starring in marykate amp ashley olsen,"['amp', 'switching', 'starring', 'goals', 'switching goals', 'olsen', 'marykate amp', 'marykate', 'amp ashley', 'starring marykate', 'ashley olsen', 'ashley starring']"
0439095026,tell me this isnt happening,robynn clairday,1999,scholastic,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,Tell Me This Isn't Happening,tell me this isnt happening robynn clairday,[]
0689821166,flood mississippi 1927,kathleen duey,1998,aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,Flood : Mississippi 1927,flood mississippi 1927 kathleen duey,[]
0971880107,wild animus,rich shapero,2004,too far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,Wild Animus,wild animus rich shapero,[]
0345402871,airframe,michael crichton,1997,ballantine books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,Airframe,airframe michael crichton,[]
0345417623,timeline,michael crichton,2000,ballantine books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,Timeline,timeline michael crichton,[]
0684823802,out of the silent planet,cs lewis,1996,scribner,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,OUT OF THE SILENT PLANET,out of the silent planet cs lewis,[]
0375759778,prague a novel,arthur phillips,2003,random house trade paperbacks,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,Prague : A Novel,prague a novel arthur phillips,[]
0425163091,chocolate jesus,stephan jaramillo,1998,berkley publishing group,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,Chocolate Jesus,chocolate jesus stephan jaramillo,[]
3404921038,wie barney es sieht,mordecai richler,2002,lããâ¼bbe,http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,Wie Barney es sieht.,wie barney es sieht mordecai richler,[]
3442353866,der fluch der kaiserin ein richter di roman,eleanor cooney,2001,goldmann,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,der fluch der kaiserin ein richter di roman eleanor cooney,"['ein', 'fluch', 'der', 'roman', 'di roman', 'der fluch', 'cooney', 'kaiserin', 'richter', 'eleanor', 'eleanor cooney', 'ein richter']"
3442410665,sturmzeit roman,charlotte link,1991,goldmann,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,Sturmzeit. Roman.,sturmzeit roman charlotte link,[]
3442446937,tage der unschuld,richard north patterson,2000,goldmann,http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,Tage der Unschuld.,tage der unschuld richard north patterson,[]
0375406328,lying awake,mark salzman,2000,alfred a knopf,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,Lying Awake,lying awake mark salzman,[]
0446310786,to kill a mockingbird,harper lee,1988,little brown amp company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,To Kill a Mockingbird,to kill a mockingbird harper lee,[]
0449005615,seabiscuit an american legend,laura hillenbrand,2002,ballantine books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,Seabiscuit: An American Legend,seabiscuit an american legend laura hillenbrand,[]
0060168013,pigs in heaven,barbara kingsolver,1993,harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,Pigs in Heaven,pigs in heaven barbara kingsolver,[]
038078243X,miss zukas and the ravens dance,jo dereske,1996,avon,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,Miss Zukas and the Raven's Dance,miss zukas and the ravens dance jo dereske,[]
055321215X,pride and prejudice,jane austen,1983,bantam,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,Pride and Prejudice,pride and prejudice jane austen,[]
067176537X,the therapeutic touch how to use your hands to help or to heal,dolores krieger,1979,fireside,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,the therapeutic touch how to use your hands to help or to heal dolores krieger,"['help', 'use', 'krieger', 'heal', 'help heal', 'dolores', 'therapeutic', 'touch use', 'touch', 'use hands', 'hands help', 'dolores krieger']"
0061099686,downtown,anne rivers siddons,1995,harpertorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,Downtown,downtown anne rivers siddons,[]
